"","X","batting_team","velo","game","team_avg","game_diff","tv_provider"
"2769",2769,"Arizona Diamondbacks",87.7466666666667,662271,88.1188788623215,-0.372212195654839,"Local"
"2770",2770,"San Diego Padres",91.1392857142857,662271,87.7530734570588,3.38621225722689,"Local"
"2771",2771,"Los Angeles Angels",82.476,663415,88.7450776389442,-6.26907763894418,"Local"
"2772",2772,"Los Angeles Dodgers",90.4227272727273,663415,89.4577842612238,0.964943011503465,"Local"
"2773",2773,"Kansas City Royals",86.7,661717,88.6473411570678,-1.94734115706784,"Peacock"
"2774",2774,"Toronto Blue Jays",88.008,661717,90.2405645948016,-2.2325645948016,"Peacock"
"2775",2775,"Atlanta Braves",85.6923076923077,662530,89.902094809833,-4.20978711752532,"Local"
"2776",2776,"Washington Nationals",86.0125,662530,87.1776225650982,-1.16512256509824,"Local"
"2777",2777,"Boston Red Sox",89.8,661258,88.9910088456763,0.808991154323664,"Local"
"2778",2778,"New York Yankees",86.46875,661258,90.1797716542271,-3.71102165422714,"Local"
"2779",2779,"Baltimore Orioles",88.0241379310345,661872,88.7909675414808,-0.76682961044628,"Local"
"2780",2780,"Tampa Bay Rays",83.2736842105263,661872,89.0880962528633,-5.81441204233701,"Local"
"2781",2781,"Miami Marlins",88.321052631579,661373,88.2246899350156,0.0963626965633466,"Local"
"2782",2782,"Philadelphia Phillies",88.144,661373,89.0319565724385,-0.88795657243854,"Local"
"2783",2783,"Houston Astros",86.3535714285714,662908,88.7728280921226,-2.41925666355122,"Local"
"2784",2784,"Oakland Athletics",87.5384615384615,662908,88.0397013552326,-0.501239816771047,"Local"
"2785",2785,"Chicago White Sox",89.971875,661672,88.9457272739417,1.02614772605833,"Local"
"2786",2786,"Minnesota Twins",85.41,661672,89.7185025011873,-4.30850250118729,"Local"
"2787",2787,"Chicago Cubs",92.2409090909091,661082,88.6023410464028,3.63856804450631,"Local"
"2788",2788,"New York Mets",87.1483870967742,661082,88.2921628813038,-1.14377578452962,"Local"
"2789",2789,"Seattle Mariners",90,661821,87.7553787873181,2.24462121268195,"Local"
"2790",2790,"Texas Rangers",90.1416666666667,661821,89.1728653403279,0.968801326338749,"Local"
"2791",2791,"Colorado Rockies",88.5962962962963,661080,87.3418701699949,1.2544261263014,"Local"
"2792",2792,"Pittsburgh Pirates",92.8709677419355,661080,88.1787093297232,4.69225841221234,"Local"
"2793",2793,"Milwaukee Brewers",91.94,662059,88.6465041131023,3.29349588689772,"Local"
"2794",2794,"San Francisco Giants",93.572,662059,88.2224995096412,5.34950049035876,"Local"
"2795",2795,"Arizona Diamondbacks",87.6521739130435,662269,88.1188788623215,-0.466704949278039,"Local"
"2796",2796,"San Diego Padres",88.3666666666667,662269,87.7530734570588,0.613593209607885,"Local"
"2797",2797,"Miami Marlins",91.4923076923077,661421,88.2246899350156,3.26761775729206,"Local"
"2798",2798,"Texas Rangers",88.1653846153846,661421,89.1728653403279,-1.00748072494335,"Local"
"2799",2799,"Houston Astros",91.3545454545455,662776,88.7728280921226,2.58171736242288,"Local"
"2800",2800,"New York Yankees",85.164,662776,90.1797716542271,-5.01577165422714,"Local"
"2801",2801,"Houston Astros",90.0333333333333,662775,88.7728280921226,1.26050524121068,"Local"
"2802",2802,"New York Yankees",83.1166666666667,662775,90.1797716542271,-7.06310498756044,"Local"
"2803",2803,"Detroit Tigers",88.9275862068965,662411,87.38664663204,1.54093957485652,"Local"
"2804",2804,"Oakland Athletics",90.5578947368421,662411,88.0397013552326,2.51819338160955,"Local"
"2805",2805,"Detroit Tigers",83.6411764705882,662408,87.38664663204,-3.74547016145178,"Local"
"2806",2806,"Oakland Athletics",85.4384615384615,662408,88.0397013552326,-2.60123981677106,"Local"
"2807",2807,"Los Angeles Dodgers",95.424,662685,89.4577842612238,5.96621573877617,"ESPN"
"2808",2808,"San Francisco Giants",87.544,662685,88.2224995096412,-0.678499509641242,"ESPN"
"2809",2809,"Cincinnati Reds",83.9041666666667,663060,87.8291722055408,-3.92500553887409,"Local"
"2810",2810,"St. Louis Cardinals",84.5782608695652,663060,87.6113204929726,-3.03305962340741,"Local"
"2811",2811,"Chicago Cubs",91.6128205128205,661560,88.6023410464028,3.01047946641772,"Apple TV"
"2812",2812,"Philadelphia Phillies",88.0689655172414,661560,89.0319565724385,-0.962991055197151,"Apple TV"
"2813",2813,"Miami Marlins",91.1228571428571,662327,88.2246899350156,2.89816720784145,"Local"
"2814",2814,"Pittsburgh Pirates",88.2666666666667,662327,88.1787093297232,0.087957336943532,"Local"
"2815",2815,"Baltimore Orioles",87.6153846153846,661072,88.7909675414808,-1.17558292609618,"Local"
"2816",2816,"New York Yankees",92.5318181818182,661072,90.1797716542271,2.35204652759106,"Local"
"2817",2817,"New York Mets",91.2652173913043,662481,88.2921628813038,2.97305451000048,"Local"
"2818",2818,"San Diego Padres",89.4782608695652,662481,87.7530734570588,1.72518741250639,"Local"
"2819",2819,"Boston Red Sox",88.46,663222,88.9910088456763,-0.53100884567634,"Local"
"2820",2820,"Toronto Blue Jays",90.7354166666667,663222,90.2405645948016,0.494852071865097,"Local"
"2821",2821,"Atlanta Braves",89.3055555555556,661504,89.902094809833,-0.596539254277417,"Local"
"2822",2822,"Los Angeles Angels",86.5352941176471,661504,88.7450776389442,-2.20978352129708,"Local"
"2823",2823,"Kansas City Royals",87.146875,662658,88.6473411570678,-1.50046615706785,"Local"
"2824",2824,"Tampa Bay Rays",87.262962962963,662658,89.0880962528633,-1.82513328990031,"Local"
"2825",2825,"Chicago White Sox",89.4291666666667,661409,88.9457272739417,0.483439392725032,"Apple TV"
"2826",2826,"Cleveland Guardians",85.7702702702703,661409,87.4553960764391,-1.68512580616881,"Apple TV"
"2827",2827,"Colorado Rockies",85.303125,661193,87.3418701699949,-2.03874516999491,"Local"
"2828",2828,"Milwaukee Brewers",90.0285714285714,661193,88.6465041131023,1.38206731546911,"Local"
"2829",2829,"Arizona Diamondbacks",87.0851851851852,663306,88.1188788623215,-1.03369367713634,"Local"
"2830",2830,"Washington Nationals",86.9909090909091,663306,87.1776225650982,-0.186713474189148,"Local"
"2831",2831,"Oakland Athletics",88.5962962962963,662344,88.0397013552326,0.55659494106375,"Local"
"2832",2832,"Texas Rangers",89.25,662344,89.1728653403279,0.0771346596720548,"Local"
"2833",2833,"Houston Astros",86.8225806451613,662167,88.7728280921226,-1.95024744696133,"Local"
"2834",2834,"Seattle Mariners",82.8678571428571,662167,87.7553787873181,-4.88752164446095,"Local"
"2835",2835,"Los Angeles Dodgers",91.8481481481482,662589,89.4577842612238,2.39036388692436,"Local"
"2836",2836,"San Francisco Giants",84.7444444444444,662589,88.2224995096412,-3.47805506519684,"Local"
"2837",2837,"Chicago White Sox",83.3142857142857,661523,88.9457272739417,-5.63144155965597,"Local"
"2838",2838,"Cleveland Guardians",87.5705882352941,661523,87.4553960764391,0.115192158854981,"Local"
"2839",2839,"Chicago White Sox",89.6653846153846,661408,88.9457272739417,0.719657341442925,"FOX"
"2840",2840,"Cleveland Guardians",86.752,661408,87.4553960764391,-0.70339607643912,"FOX"
"2841",2841,"Houston Astros",88.9428571428571,662146,88.7728280921226,0.17002905073447,"FS1"
"2842",2842,"Seattle Mariners",85.665,662146,87.7553787873181,-2.09037878731804,"FS1"
"2843",2843,"Boston Red Sox",86.9181818181818,663221,88.9910088456763,-2.07282702749454,"Local"
"2844",2844,"Toronto Blue Jays",88.5347826086957,663221,90.2405645948016,-1.70578198610589,"Local"
"2845",2845,"Chicago Cubs",83.9769230769231,661559,88.6023410464028,-4.62541796947968,"Local"
"2846",2846,"Philadelphia Phillies",88.2260869565217,661559,89.0319565724385,-0.805869615916848,"Local"
"2847",2847,"Detroit Tigers",91.18,662902,87.38664663204,3.79335336796002,"Local"
"2848",2848,"Minnesota Twins",84.834375,662902,89.7185025011873,-4.88412750118729,"Local"
"2849",2849,"Cincinnati Reds",81.0952380952381,663047,87.8291722055408,-6.73393411030268,"Local"
"2850",2850,"St. Louis Cardinals",90.9235294117647,663047,87.6113204929726,3.31220891879209,"Local"
"2851",2851,"Miami Marlins",86.7863636363636,662436,88.2246899350156,-1.43832629865204,"Local"
"2852",2852,"Pittsburgh Pirates",80.8307692307692,662436,88.1787093297232,-7.34794009895396,"Local"
"2853",2853,"Baltimore Orioles",89.625,661057,88.7909675414808,0.834032458519218,"Local"
"2854",2854,"New York Yankees",90.51875,661057,90.1797716542271,0.338978345772858,"Local"
"2855",2855,"New York Mets",89.4636363636364,662495,88.2921628813038,1.17147348233257,"Local"
"2856",2856,"San Diego Padres",79.7117647058824,662495,87.7530734570588,-8.04130875117642,"Local"
"2857",2857,"Kansas City Royals",88.75,662657,88.6473411570678,0.102658842932158,"Local"
"2858",2858,"Tampa Bay Rays",86.6368421052632,662657,89.0880962528633,-2.45125414760011,"Local"
"2859",2859,"Colorado Rockies",85.1083333333333,661201,87.3418701699949,-2.2335368366616,"Local"
"2860",2860,"Milwaukee Brewers",88.7392857142857,661201,88.6465041131023,0.0927816011834182,"Local"
"2861",2861,"Los Angeles Dodgers",87.0545454545454,662608,89.4577842612238,-2.40323880667843,"FOX"
"2862",2862,"San Francisco Giants",85.5086956521739,662608,88.2224995096412,-2.71380385746734,"FOX"
"2863",2863,"Atlanta Braves",91.5714285714286,661503,89.902094809833,1.66933376159558,"Local"
"2864",2864,"Los Angeles Angels",84.4521739130435,661503,88.7450776389442,-4.29290372590069,"Local"
"2865",2865,"Arizona Diamondbacks",83.5269230769231,663305,88.1188788623215,-4.59195578539844,"Local"
"2866",2866,"Washington Nationals",84.2055555555555,663305,87.1776225650982,-2.97206700954274,"Local"
"2867",2867,"Oakland Athletics",87.9416666666667,662348,88.0397013552326,-0.0980346885658463,"FS1"
"2868",2868,"Texas Rangers",88.052,662348,89.1728653403279,-1.12086534032794,"FS1"
"2869",2869,"Chicago Cubs",85.8269230769231,661556,88.6023410464028,-2.77541796947969,"Peacock"
"2870",2870,"Philadelphia Phillies",85.3464285714286,661556,89.0319565724385,-3.68552800100994,"Peacock"
"2871",2871,"Boston Red Sox",85.124,663220,88.9910088456763,-3.86700884567634,"Local"
"2872",2872,"Toronto Blue Jays",85.4628571428571,663220,90.2405645948016,-4.77770745194449,"Local"
"2873",2873,"Atlanta Braves",90,661502,89.902094809833,0.0979051901669834,"Local"
"2874",2874,"Los Angeles Angels",85.4033333333333,661502,88.7450776389442,-3.34174430561089,"Local"
"2875",2875,"Miami Marlins",85.325,662357,88.2246899350156,-2.89968993501564,"Local"
"2876",2876,"Pittsburgh Pirates",90.15,662357,88.1787093297232,1.97129067027684,"Local"
"2877",2877,"Baltimore Orioles",87.372,661056,88.7909675414808,-1.41896754148078,"Local"
"2878",2878,"New York Yankees",93.3935483870968,661056,90.1797716542271,3.21377673286966,"Local"
"2879",2879,"Cincinnati Reds",83.175,663059,87.8291722055408,-4.65417220554079,"Local"
"2880",2880,"St. Louis Cardinals",84.4541666666667,663059,87.6113204929726,-3.15715382630592,"Local"
"2881",2881,"Detroit Tigers",87.7913043478261,662901,87.38664663204,0.404657715786115,"Local"
"2882",2882,"Minnesota Twins",88.1818181818182,662901,89.7185025011873,-1.53668431936909,"Local"
"2883",2883,"Kansas City Royals",87.6548387096774,662656,88.6473411570678,-0.992502447390436,"Local"
"2884",2884,"Tampa Bay Rays",89.2,662656,89.0880962528633,0.111903747136694,"Local"
"2885",2885,"Chicago White Sox",87.6296296296296,661407,88.9457272739417,-1.31609764431207,"Local"
"2886",2886,"Cleveland Guardians",85.5461538461538,661407,87.4553960764391,-1.90924223028532,"Local"
"2887",2887,"Colorado Rockies",82.825,661184,87.3418701699949,-4.5168701699949,"Local"
"2888",2888,"Milwaukee Brewers",94.2481481481481,661184,88.6465041131023,5.60164403504582,"Local"
"2889",2889,"Oakland Athletics",90.003125,662343,88.0397013552326,1.96342364476745,"Local"
"2890",2890,"Texas Rangers",90.1742857142857,662343,89.1728653403279,1.00142037395776,"Local"
"2891",2891,"Arizona Diamondbacks",87.1516129032258,663316,88.1188788623215,-0.967265959095741,"Local"
"2892",2892,"Washington Nationals",87.3269230769231,663316,87.1776225650982,0.149300511824848,"Local"
"2893",2893,"Houston Astros",87.0866666666667,662145,88.7728280921226,-1.68616142545592,"Local"
"2894",2894,"Seattle Mariners",88.284,662145,87.7553787873181,0.528621212681955,"Local"
"2895",2895,"Los Angeles Dodgers",90.5107142857143,662682,89.4577842612238,1.05293002449046,"Local"
"2896",2896,"San Francisco Giants",87.8190476190476,662682,88.2224995096412,-0.403451890593644,"Local"
"2897",2897,"New York Mets",88.6214285714286,662458,88.2921628813038,0.329265690124771,"ESPN"
"2898",2898,"San Diego Padres",89.309375,662458,87.7530734570588,1.55630154294118,"ESPN"
"2899",2899,"Cincinnati Reds",88.26,663046,87.8291722055408,0.430827794459219,"Local"
"2900",2900,"Miami Marlins",89.2409090909091,663046,88.2246899350156,1.01621915589345,"Local"
"2901",2901,"Baltimore Orioles",87.9269230769231,661055,88.7909675414808,-0.864044464557679,"Local"
"2902",2902,"Tampa Bay Rays",90.404,661055,89.0880962528633,1.31590374713669,"Local"
"2903",2903,"Atlanta Braves",86.3192307692308,661555,89.902094809833,-3.58286404060222,"Local"
"2904",2904,"Philadelphia Phillies",84.112,661555,89.0319565724385,-4.91995657243855,"Local"
"2905",2905,"Boston Red Sox",85.47,663219,88.9910088456763,-3.52100884567633,"Local"
"2906",2906,"Cleveland Guardians",85.1375,663219,87.4553960764391,-2.31789607643911,"Local"
"2907",2907,"Detroit Tigers",89.103125,662809,87.38664663204,1.71647836796002,"Local"
"2908",2908,"San Diego Padres",90.1857142857143,662809,87.7530734570588,2.43264082865548,"Local"
